"Plot Title: FORCRK_U"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 20685714, SEN S/N: 20685714, LBL: Temp)","Bad Battery (LGR S/N: 20685714)","End Of File (LGR S/N: 20685714)"
627,07/20/22 13:00:00,7.782,,
628,07/20/22 13:30:00,7.983,,
629,07/20/22 14:00:00,8.082,,
630,07/20/22 14:30:00,8.282,,
631,07/20/22 15:00:00,8.382,,
632,07/20/22 15:30:00,8.481,,
633,07/20/22 16:00:00,8.581,,
634,07/20/22 16:30:00,8.481,,
635,07/20/22 17:00:00,8.382,,
636,07/20/22 17:30:00,8.282,,
637,07/20/22 18:00:00,8.082,,
638,07/20/22 18:30:00,7.782,,
639,07/20/22 19:00:00,7.481,,
640,07/20/22 19:30:00,7.179,,
641,07/20/22 20:00:00,6.877,,
642,07/20/22 20:30:00,6.573,,
643,07/20/22 21:00:00,6.166,,
644,07/20/22 21:30:00,5.860,,
645,07/20/22 22:00:00,5.552,,
646,07/20/22 22:30:00,5.244,,
647,07/20/22 23:00:00,5.037,,
648,07/20/22 23:30:00,4.934,,
649,07/21/22 00:00:00,4.727,,
650,07/21/22 00:30:00,4.623,,
651,07/21/22 01:00:00,4.519,,
652,07/21/22 01:30:00,4.415,,
653,07/21/22 02:00:00,4.415,,
654,07/21/22 02:30:00,4.415,,
655,07/21/22 03:00:00,4.415,,
656,07/21/22 03:30:00,4.519,,
657,07/21/22 04:00:00,4.519,,
658,07/21/22 04:30:00,4.519,,
659,07/21/22 05:00:00,4.415,,
660,07/21/22 05:30:00,4.519,,
661,07/21/22 06:00:00,4.623,,
662,07/21/22 06:30:00,4.623,,
663,07/21/22 07:00:00,4.831,,
664,07/21/22 07:30:00,5.037,,
665,07/21/22 08:00:00,5.244,,
666,07/21/22 08:30:00,5.450,,
